MeterID,Zone,ConsumerType,Date,EnergyConsumed_kWh,PeakUsage_kWh,OutageMinutes,MeterStatus,TariffRate
MTR00001,East,Residential,2025-01-01,876.16,146.05,87,Active,5.35
MTR00002,South,Commercial,2025-11-09,934.64,81.2,202,Faulty,7.36
MTR00003,South,Commercial,2025-01-24,635.94,115.1,213,Active,6.45
MTR00004,East,Commercial,2025-04-26,88.52,116.53,153,Faulty,6.53
MTR00005,North,Residential,2025-11-14,198.28,32.39,206,Active,10.43
MTR00006,East,Commercial,2025-09-02,373.74,101.97,23,Active,7.76
MTR00007,South,Commercial,2025-08-14,778.46,79.06,158,Faulty,12.22
MTR00008,Central,Industrial,2025-10-15,495.8,138.65,87,Active,8.37
MTR00009,East,Residential,2025-07-08,856.36,59.96,290,Faulty,12.05
MTR00010,East,Industrial,2025-12-25,1120.43,10.41,82,Active,11.68
MTR00011,East,Residential,2025-07-23,590.75,98.41,195,Faulty,8.6
MTR00012,Central,Residential,2025-11-01,255.04,127.23,38,Faulty,8.3
MTR00013,South,Industrial,2025-08-22,253.02,29.16,56,Active,9.52
MTR00014,North,Industrial,2025-05-31,432.37,114.95,109,Faulty,9.62
MTR00015,South,Commercial,2025-05-04,760.76,15.22,19,Active,8.18
MTR00016,Central,Industrial,2025-11-10,94.23,37.21,9,Faulty,6.61
MTR00017,Central,Residential,2025-03-29,649.15,122.29,251,Faulty,3.81
MTR00018,North,Residential,2025-07-30,413.1,89.63,188,Active,9.89
MTR00019,North,Residential,2025-08-02,661.94,89.56,206,Active,6.1
MTR00020,West,Commercial,2025-04-19,776.24,96.26,249,Active,11.57
MTR00021,East,Commercial,2025-05-05,838.63,8.36,221,Active,8.07
MTR00022,North,Commercial,2025-02-22,584.02,88.43,10,Faulty,10.6
MTR00023,North,Commercial,2025-08-04,722.0,146.93,144,Faulty,8.74
MTR00024,North,Residential,2025-03-16,443.5,99.15,71,Faulty,4.31
MTR00025,South,Industrial,2025-09-11,875.02,117.12,210,Faulty,9.4
MTR00026,West,Residential,2025-01-27,555.09,122.24,239,Faulty,9.95
